title,description,choice_text,success_chance,success_reward_type,success_reward_value,failure_penalty_type,failure_penalty_value
Ancient Library,Explore the ruins of an ancient library. You might find powerful knowledge... or dangerous traps.,Search for rare tomes,0.7,add_equipment,Arcane Tome,take_damage,15
Ancient Library,Explore the ruins of an ancient library. You might find powerful knowledge... or dangerous traps.,Study defensive techniques,0.9,add_equipment,Shield Manual,take_damage,5
Ancient Library,Explore the ruins of an ancient library. You might find powerful knowledge... or dangerous traps.,Leave,1.0,message,You decided to leave the library.,message,You left safely.
Mysterious Merchant,A strange merchant offers to trade with you. Their wares seem... unusual.,Trade health for a cursed blade,1.0,add_equipment,Soul Blade,take_damage,20
Mysterious Merchant,A strange merchant offers to trade with you. Their wares seem... unusual.,Decline and leave,1.0,message,You decided not to trade.,message,You left safely.
Dragon's Lair,The entrance to a dragon's lair lies before you. The heat is intense.,Attempt to steal treasure,0.3,add_equipment,Dragon's Scale,take_damage,30
Dragon's Lair,The entrance to a dragon's lair lies before you. The heat is intense.,Challenge the dragon,0.5,add_equipment,Dragon Slayer,take_damage,25
Dragon's Lair,The entrance to a dragon's lair lies before you. The heat is intense.,Leave quietly,1.0,message,You wisely chose to leave.,message,You left safely.
Enchanted Forest,A magical forest with glowing plants and mysterious creatures.,Gather magical herbs,0.8,add_equipment,Healing Herbs,take_damage,8
Enchanted Forest,A magical forest with glowing plants and mysterious creatures.,Follow the fairy lights,0.6,add_equipment,Fairy Charm,take_damage,12
Enchanted Forest,A magical forest with glowing plants and mysterious creatures.,Stay on the path,1.0,message,You stayed safe on the main path.,message,You left safely.
Abandoned Mine,An old mine shaft with strange noises echoing from within.,Search for gems,0.7,add_equipment,Crystal Shard,take_damage,10
Abandoned Mine,An old mine shaft with strange noises echoing from within.,Investigate the noises,0.5,add_equipment,Mining Pick,take_damage,15
Abandoned Mine,An old mine shaft with strange noises echoing from within.,Leave the mine,1.0,message,You decided to leave the mine.,message,You left safely.
Haunted Castle,A decrepit castle with ghostly apparitions floating about.,Search for the treasure room,0.4,add_equipment,Ghost Blade,take_damage,20
Haunted Castle,A decrepit castle with ghostly apparitions floating about.,Communicate with spirits,0.6,add_equipment,Spirit Guide,take_damage,12
Haunted Castle,A decrepit castle with ghostly apparitions floating about.,Leave the castle,1.0,message,You chose to leave the haunted castle.,message,You left safely.
Mystic Temple,An ancient temple with powerful magical energies.,Meditate in the inner sanctum,0.8,add_equipment,Meditation Beads,take_damage,8
Mystic Temple,An ancient temple with powerful magical energies.,Study the wall carvings,0.7,add_equipment,Ancient Scroll,take_damage,10
Mystic Temple,An ancient temple with powerful magical energies.,Leave the temple,1.0,message,You decided to leave the temple.,message,You left safely.
Frozen Caverns,A series of ice caves with strange crystals growing within.,Harvest ice crystals,0.7,add_equipment,Frost Crystal,take_damage,12
Frozen Caverns,A series of ice caves with strange crystals growing within.,Follow the blue light,0.5,add_equipment,Glacial Shield,take_damage,15
Frozen Caverns,A series of ice caves with strange crystals growing within.,Leave the caverns,1.0,message,You chose to leave the frozen caverns.,message,You left safely.
Desert Oasis,A beautiful oasis in the middle of a vast desert.,Drink from the spring,0.9,add_equipment,Oasis Water,take_damage,5
Desert Oasis,A beautiful oasis in the middle of a vast desert.,Search for artifacts,0.6,add_equipment,Desert Wind,take_damage,12
Desert Oasis,A beautiful oasis in the middle of a vast desert.,Rest and leave,1.0,message,You rested and left refreshed.,message,You left safely.
Cursed Village,An abandoned village with strange markings on the buildings.,Investigate the markings,0.5,add_equipment,Curse Breaker,take_damage,18
Cursed Village,An abandoned village with strange markings on the buildings.,Search for survivors,0.7,add_equipment,Village Charm,take_damage,10
Cursed Village,An abandoned village with strange markings on the buildings.,Leave quickly,1.0,message,You wisely left the cursed village.,message,You left safely.
Mountain Pass,A treacherous path through the mountains.,Climb the peak,0.4,add_equipment,Summit's Edge,take_damage,25
